rank,accident_id,ADSTRD_CD,ADSTRD_NM,사고연도,사고유형구분,사고지역위치명,사고건수,사망자수,중상자수,경상자수,부상신고자수,protection_ring,protection_dist_m,missing_facilities,policy_package,accident_severity_score,protection_gap_score,safety_shortage_score,child_blindspot_index,senior_blindspot_index,complex_risk_index,intervention_priority_index,priority_grade
18,ACC_00450,11620765,미성동,2019,보행노인,서울특별시 관악구 신림동(뿌리약국 부근),9,0,5,4,0,extended_600_1000m,688.4967757820692,"횡단보도, 신호등, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",51.59642401021712,100.0,72.17194570135746,61.47074715533133,40.194158899464945,40.194158899464945,67.49987099025107,A_preventive_management
19,ACC_01711,11410685,홍은2동,2013,보행노인,서울특별시 서대문구 홍은동(홍은사거리 부근),8,2,4,2,0,beyond_1000m,1448.7228670017744,"횡단보도, 신호등, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",50.31928480204342,100.0,87.78280542986425,60.60675670209139,42.17666731264905,42.17666731264905,66.93325679898875,A_preventive_management
20,ACC_00430,11740610,천호2동,2019,보행노인,서울특별시 강동구 천호동(광진교앞 부근),8,0,5,5,0,extended_600_1000m,658.1554085944917,"횡단보도, 신호등, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",47.25415070242656,100.0,83.03167420814479,60.20060042879515,43.69032008515699,43.69032008515699,66.7541484415687,A_preventive_management
21,ACC_00642,11410660,홍은1동,2018,보행노인,서울특별시 서대문구 홍제동(홍은사거리 부근),9,0,5,4,1,beyond_1000m,1450.3866183137263,"횡단보도, 신호등, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",51.979565772669226,100.0,82.12669683257919,60.33943875221766,42.01558757265109,42.01558757265109,66.64177688811532,A_preventive_management
22,ACC_00508,11320514,창4동,2019,보행노인,서울특별시 도봉구 창동(창동견인차량보관소 부근),7,0,6,2,0,beyond_1000m,1538.3926808790145,"횡단보도, 신호등, 과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",42.1455938697318,100.0,88.46153846153847,60.60639552018861,40.03379479462468,40.03379479462468,66.61146473938231,A_preventive_management
23,ACC_00169,11545670,시흥1동,2022,보행노인,서울특별시 금천구 시흥동(시흥사거리 부근),8,1,7,0,0,beyond_1000m,2942.248720913805,"횡단보도, 신호등, 보안등","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",51.85185185185185,100.0,80.99547511312217,60.12505562201302,41.02319488850703,41.02319488850703,66.27853485528908,A_preventive_management
24,ACC_01214,11110710,숭인2동,2015,보행노인,서울특별시 종로구 숭인동(황학교(북단)_난계로_진출_1 부근),7,0,6,1,0,extended_600_1000m,969.5762721685794,"횡단보도, 신호등, 과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",41.37931034482759,100.0,94.34389140271493,59.84123888282103,40.10641155304323,40.10641155304323,65.85720061577751,A_preventive_management
25,ACC_01358,11320690,방학1동,2014,보행노인,서울특별시 도봉구 방학동(LG대경주유소 부근),9,1,4,3,1,beyond_1000m,2078.6503971800366,"횡단보도, 신호등, 과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",52.74584929757344,100.0,81.67420814479638,59.850109510352915,39.58047569833747,39.58047569833747,65.78718086510354,A_preventive_management
26,ACC_00484,11470530,목3동,2019,보행노인,서울특별시 양천구 목동(SC제일은행등촌지점 부근),10,0,4,6,0,beyond_1000m,1064.2204412268527,"횡단보도, 신호등, 무인단속카메라, 보안등","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",55.938697318007655,100.0,77.14932126696833,59.599218113416896,40.57293941961743,40.57293941961743,65.68515902635951,A_preventive_management
27,ACC_00056,11290685,길음2동,2024,보행노인,서울특별시 성북구 길음동(길음역교차로 부근),7,0,7,0,0,extended_600_1000m,668.4234722267329,"횡단보도, 신호등, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",42.911877394636015,100.0,86.87782805429865,59.25772784799153,41.819978037886706,41.819978037886706,65.53072455367453,A_preventive_management
28,ACC_01292,11620575,행운동,2014,보행노인,서울특별시 관악구 봉천동(은천삼거리 부근),7,0,7,3,0,extended_600_1000m,876.3866679982068,"횡단보도, 신호등, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",45.21072796934866,100.0,75.79185520361992,59.77873996636674,38.21425210669053,38.21425210669053,65.51087778237033,A_preventive_management
29,ACC_01416,11140540,회현동,2014,보행노인,서울특별시 중구 남창동(숭례문_남대문로_진입_1 부근),8,0,8,3,0,beyond_1000m,1666.1174591521187,"횡단보도, 신호등, 무인단속카메라, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",52.61813537675606,100.0,84.84162895927602,58.2115572429974,46.203614677898095,46.203614677898095,65.14209944468212,A_preventive_management
30,ACC_00900,11590620,사당1동,2016,보행노인,서울특별시 서초구 방배동(대성문구인쇄 부근),10,0,7,4,0,outside_300_600m,372.47387956351804,"과속방지턱, 보안등, 보행자우선도로","고령자 병원형: 보행신호 연장, 횡단거리 단축, 보행섬 검토",61.30268199233716,70.0,63.12217194570135,58.07943690296631,46.43320502703396,46.43320502703396,65.0444176570214,A_preventive_management
