학구ID,학구명,학구분류,시도코드,시군구코드,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,공간객체ID,데이터기준일자
Z000104036,상록초통학구역,0,44,270,8140000,충청남도교육청,8291000,충청남도당진교육지원청,2016-08-12,2020-02-19,6578,2026-03-20
Z000100113,서울금산초통학구역,0,11,545,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2016-08-12,2016-08-12,5246,2026-03-20
Z000104673,고달초통학구역,0,46,720,8490000,전라남도교육청,8571000,전라남도곡성교육지원청,2016-08-12,2016-08-12,2537,2026-03-20
Z000104485,목포연동초통학구역,0,46,110,8490000,전라남도교육청,8501000,전라남도목포교육지원청,2016-08-12,2016-08-12,5857,2026-03-20
Z000104289,사매초통학구역,0,52,190,8321000,전북특별자치도교육청,8372000,전북특별자치도남원교육지원청,2016-08-12,2024-02-23,1172,2026-03-20
Z000104198,왕궁초통학구역,0,52,140,8321000,전북특별자치도교육청,8352000,전북특별자치도익산교육지원청,2016-08-12,2024-02-23,3076,2026-03-20
Z000101447,운리초통학구역,0,29,140,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2016-08-12,2016-08-12,6762,2026-03-20
Z000104211,이리동북초통학구역,0,52,140,8321000,전북특별자치도교육청,8352000,전북특별자치도익산교육지원청,2016-08-12,2024-02-23,515,2026-03-20
Z000104778,북평초통학구역,0,46,820,8490000,전라남도교육청,8641000,전라남도해남교육지원청,2016-08-12,2016-08-12,1444,2026-03-20
Z000100185,서울상월초통학구역,0,11,350,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2016-08-12,2016-08-12,4803,2026-03-20
Z000100418,서울압구정초통학구역,0,11,680,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2016-08-12,2016-08-12,1031,2026-03-20
Z000100825,신곡초통학구역,0,26,350,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2016-08-12,2018-04-04,3768,2026-03-20
Z000100812,반송초통학구역,0,26,350,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2016-08-12,2018-04-04,5538,2026-03-20
Z000101426,서광초통학구역,0,29,140,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2016-08-12,2016-08-12,536,2026-03-20
Z000103768,청보초통학구역,0,44,180,8140000,충청남도교육청,8171000,충청남도보령교육지원청,2016-08-12,2017-12-08,4237,2026-03-20
Z000100517,서울중마초통학구역,0,11,215,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2016-08-12,2017-04-03,3684,2026-03-20
Z000150215,노진초화성장안초공동통학구역,1,41,590,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2016-08-12,2016-08-12,2400,2026-03-20
Z000103697,천안와촌초통학구역,0,44,133,8140000,충청남도교육청,8151000,충청남도천안교육지원청,2016-08-12,2016-08-12,2788,2026-03-20
Z000102157,시곡초통학구역,0,41,271,7530000,경기도교육청,7611000,경기도안산교육지원청,2016-08-12,2016-08-12,6210,2026-03-20
Z000105097,서선초통학구역,0,47,170,8750000,경상북도교육청,8791000,경상북도안동교육지원청,2016-08-12,2016-08-12,2551,2026-03-20
Z000100544,서울우이초통학구역,0,11,305,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2016-08-12,2016-08-12,6337,2026-03-20
Z000100559,광일초통학구역,0,26,110,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2016-08-12,2016-08-12,2805,2026-03-20
Z000101707,삼평초통학구역,0,31,710,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2016-08-12,2016-08-12,235,2026-03-20
Z000104261,영원초통학구역,0,52,180,8321000,전북특별자치도교육청,8362000,전북특별자치도정읍교육지원청,2016-08-12,2024-02-23,3932,2026-03-20
Z000105627,충렬초통학구역,0,48,220,9010000,경상남도교육청,9071000,경상남도통영교육지원청,2016-08-12,2018-07-19,101,2026-03-20
Z000104856,홍농서초통학구역,0,46,870,8490000,전라남도교육청,8681000,전라남도영광교육지원청,2016-08-12,2016-08-12,5080,2026-03-20
Z000105888,궁항초통학구역,0,48,850,9010000,경상남도교육청,9181000,경상남도하동교육지원청,2016-08-12,2016-08-12,785,2026-03-20
Z000104890,완도초통학구역,0,46,890,8490000,전라남도교육청,8701000,전라남도완도교육지원청,2016-08-12,2016-08-12,6565,2026-03-20
Z000104284,남원용성초통학구역,0,52,190,8321000,전북특별자치도교육청,8372000,전북특별자치도남원교육지원청,2016-08-12,2024-02-23,5621,2026-03-20
Z000104765,계산초통학구역,0,46,810,8490000,전라남도교육청,8631000,전라남도강진교육지원청,2016-08-12,2016-08-12,4820,2026-03-20
Z000105655,계동초통학구역,0,48,250,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2016-08-12,2016-08-12,4533,2026-03-20
Z000100115,서울당산초통학구역,0,11,560,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2016-08-12,2016-08-12,3008,2026-03-20
Z000101384,계수초통학구역,0,29,140,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2016-08-12,2017-02-16,888,2026-03-20
Z000100409,서울서원초통학구역,0,11,650,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2016-08-12,2016-08-12,1929,2026-03-20
Z000101922,새말초통학구역,0,41,150,7530000,경기도교육청,7561000,경기도의정부교육지원청,2016-08-12,2020-02-21,4348,2026-03-20
Z000101265,인천건지초통학구역,0,28,260,7310000,인천광역시교육청,7361000,인천광역시서부교육지원청,2016-08-12,2016-08-12,6884,2026-03-20
Z000104956,대송초통학구역,0,47,111,8750000,경상북도교육청,8761000,경상북도포항교육지원청,2016-08-12,2016-08-12,2033,2026-03-20
Z000101297,인천석남초통학구역,0,28,260,7310000,인천광역시교육청,7361000,인천광역시서부교육지원청,2016-08-12,2016-08-12,2456,2026-03-20
Z000105472,대원초통학구역,0,48,121,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2016-08-12,2016-08-12,4332,2026-03-20
Z000105809,부곡초학포분교장통학구역,0,48,740,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2016-08-12,2016-08-12,4330,2026-03-20
Z000105905,단계초통학구역,0,48,860,9010000,경상남도교육청,9191000,경상남도산청교육지원청,2016-08-12,2016-08-12,3966,2026-03-20
Z000105856,구만초통학구역,0,48,820,9010000,경상남도교육청,9161000,경상남도고성교육지원청,2016-08-12,2016-08-12,2967,2026-03-20
Z000101581,대전변동초통학구역,0,30,170,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2016-08-12,2016-08-12,6506,2026-03-20
Z000104664,담주초통학구역,0,46,710,8490000,전라남도교육청,8561000,전라남도담양교육지원청,2016-08-12,2016-08-12,1457,2026-03-20
Z000105890,묵계초청암분교장통학구역,0,48,850,9010000,경상남도교육청,9181000,경상남도하동교육지원청,2016-08-12,2016-08-12,6109,2026-03-20
Z000100203,서울용원초통학구역,0,11,350,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2016-08-12,2016-08-12,5210,2026-03-20
Z000101913,금오초통학구역,0,41,150,7530000,경기도교육청,7561000,경기도의정부교육지원청,2016-08-12,2019-02-20,6942,2026-03-20
Z000101924,송양초통학구역,0,41,150,7530000,경기도교육청,7561000,경기도의정부교육지원청,2016-08-12,2019-02-19,73,2026-03-20
Z000150776,대덕초제한적공동통학구역,1,46,800,8490000,전라남도교육청,8621000,전라남도장흥교육지원청,2019-12-16,2019-12-16,1149,2026-03-20
Z000103010,성림초통학구역,0,51,110,7801000,강원특별자치도교육청,7812000,강원특별자치도춘천교육지원청,2016-08-12,2020-01-06,3451,2026-03-20
Z000150794,김해신명초삼계초공동통학구역,1,48,250,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2019-12-18,2019-12-18,2945,2026-03-20
Z000100244,서울장충초통학구역,0,11,140,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2016-08-12,2017-02-20,1627,2026-03-20
Z000103922,장암초통학구역,0,44,760,8140000,충청남도교육청,8231000,충청남도부여교육지원청,2016-08-12,2016-08-12,1384,2026-03-20
Z000100379,서울정목초통학구역,0,11,470,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2016-08-12,2016-08-12,6769,2026-03-20
Z000150017,서울수암초서울을지초공동통학구역,1,11,350,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2016-08-12,2016-08-12,5239,2026-03-20
Z000150137,성주초부천송일초공동통학구역,1,41,194,7530000,경기도교육청,7581000,경기도부천교육지원청,2016-08-12,2024-03-29,2160,2026-03-20
Z000102029,상인초통학구역,0,41,192,7530000,경기도교육청,7581000,경기도부천교육지원청,2016-08-12,2024-03-29,3659,2026-03-20
Z000102536,양감초통학구역,0,41,590,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2016-08-12,2016-08-12,5844,2026-03-20
Z000103624,하당초통학구역,0,43,770,8000000,충청북도교육청,8101000,충청북도음성교육지원청,2016-08-12,2016-08-12,5228,2026-03-20
Z000103547,이원초통학구역,0,43,730,8000000,충청북도교육청,8061000,충청북도옥천교육지원청,2016-08-12,2016-08-12,6103,2026-03-20
Z000101324,인천효성남초통학구역,0,28,245,7310000,인천광역시교육청,7331000,인천광역시북부교육지원청,2016-08-12,2024-04-01,3949,2026-03-20
Z000105133,남계초통학구역,0,47,190,8750000,경상북도교육청,8801000,경상북도구미교육지원청,2016-08-12,2016-08-12,2075,2026-03-20
Z000106069,예래초통학구역,0,50,130,9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2016-08-12,2016-08-12,5856,2026-03-20
Z000100208,서울자운초통학구역,0,11,320,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2016-08-12,2016-08-12,3549,2026-03-20
Z000104711,풍남초통학구역,0,46,770,8490000,전라남도교육청,8591000,전라남도고흥교육지원청,2016-08-12,2016-08-12,431,2026-03-20
Z000104702,도화초통학구역,0,46,770,8490000,전라남도교육청,8591000,전라남도고흥교육지원청,2016-08-12,2016-08-12,2980,2026-03-20
Z000100752,동주초통학구역,0,26,530,7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2016-08-12,2016-08-12,6095,2026-03-20
Z000104710,포두초통학구역,0,46,770,8490000,전라남도교육청,8591000,전라남도고흥교육지원청,2016-08-12,2016-08-12,3104,2026-03-20
Z000104716,득량남초통학구역,0,46,780,8490000,전라남도교육청,8601000,전라남도보성교육지원청,2016-08-12,2016-08-12,1217,2026-03-20
Z000104701,도덕초통학구역,0,46,770,8490000,전라남도교육청,8591000,전라남도고흥교육지원청,2016-08-12,2016-08-12,1215,2026-03-20
Z000104704,두원초통학구역,0,46,770,8490000,전라남도교육청,8591000,전라남도고흥교육지원청,2016-08-12,2016-08-12,3998,2026-03-20
Z000100993,대구대남초통학구역,0,27,290,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2016-08-12,2016-08-12,2409,2026-03-20
Z000104143,군산신흥초통학구역,0,52,130,8321000,전북특별자치도교육청,8342000,전북특별자치도군산교육지원청,2016-08-12,2024-02-23,4836,2026-03-20
Z000100627,동천초통학구역,0,26,290,7150000,부산광역시교육청,7181000,부산광역시남부교육지원청,2016-08-12,2016-08-12,1921,2026-03-20
Z000100631,백운초통학구역,0,26,290,7150000,부산광역시교육청,7181000,부산광역시남부교육지원청,2016-08-12,2016-08-12,5522,2026-03-20
Z000104373,조림초통학구역,0,52,720,8321000,전북특별자치도교육청,8402000,전북특별자치도진안교육지원청,2016-08-12,2024-02-23,3580,2026-03-20
Z000104367,부귀초통학구역,0,52,720,8321000,전북특별자치도교육청,8402000,전북특별자치도진안교육지원청,2016-08-12,2024-02-23,5899,2026-03-20
Z000100776,양천초통학구역,0,26,320,7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2016-08-12,2016-08-12,5828,2026-03-20
Z000104683,구례북초통학구역,0,46,730,8490000,전라남도교육청,8581000,전라남도구례교육지원청,2016-08-12,2016-08-12,1281,2026-03-20
Z000101483,대전대문초통학구역,0,30,140,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2016-08-12,2016-08-12,722,2026-03-20
Z000106041,가파초통학구역,0,50,130,9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2016-08-12,2016-08-12,5535,2026-03-20
Z000103542,동이초우산분교장통학구역,0,43,730,8000000,충청북도교육청,8061000,충청북도옥천교육지원청,2016-08-12,2016-08-12,3460,2026-03-20
Z000102385,광릉초통학구역,0,41,360,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2016-08-12,2016-08-12,4175,2026-03-20
Z000103100,왕산초통학구역,0,51,150,7801000,강원특별자치도교육청,7832000,강원특별자치도강릉교육지원청,2016-08-12,2016-08-12,2051,2026-03-20
Z000100572,대평초통학구역,0,26,200,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2016-08-12,2016-08-12,5837,2026-03-20
Z000104679,입면초통학구역,0,46,720,8490000,전라남도교육청,8571000,전라남도곡성교육지원청,2016-08-12,2016-08-12,1470,2026-03-20
Z000104675,삼기초통학구역,0,46,720,8490000,전라남도교육청,8571000,전라남도곡성교육지원청,2016-08-12,2016-08-12,6831,2026-03-20
Z000100819,센텀초통학구역,0,26,350,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2016-08-12,2016-08-12,4660,2026-03-20
Z000100951,대구북부초통학구역,0,27,230,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2016-08-12,2016-08-12,1491,2026-03-20
Z000100818,상당초통학구역,0,26,350,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2016-08-12,2016-08-12,4673,2026-03-20
Z000100816,부흥초통학구역,0,26,350,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2016-08-12,2016-08-12,2885,2026-03-20
Z000106254,화남초통학구역,0,41,590,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2019-12-02,2019-12-02,5117,2026-03-20
Z000101663,외솔초통학구역,0,31,110,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2016-08-12,2016-08-12,6163,2026-03-20
Z000105957,쌍책초통학구역,0,48,890,9010000,경상남도교육청,9221000,경상남도합천교육지원청,2016-08-12,2016-08-12,2071,2026-03-20
Z000106251,서경초통학구역,0,41,590,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2019-12-02,2019-12-02,7130,2026-03-20
Z000150924,초전초광역통학구역,1,48,170,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2020-02-20,2020-02-20,4955,2026-03-20
Z000100992,대구대곡초통학구역,0,27,290,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2016-08-12,2020-02-20,4922,2026-03-20
Z000100991,대구노전초통학구역,0,27,290,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2016-08-12,2020-02-20,1128,2026-03-20
Z000106275,대구한실초통학구역,0,27,290,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2020-02-20,2020-02-20,3155,2026-03-20
Z000101363,문정초통학구역,0,29,170,7380000,광주광역시교육청,7391000,광주광역시동부교육지원청,2016-08-12,2016-08-12,1722,2026-03-20
Z000101452,유덕초통학구역,0,29,140,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2016-08-12,2016-08-12,15,2026-03-20
Z000150388,금가초대미초오석초공동통학구역,1,43,130,8000000,충청북도교육청,8021000,충청북도충주교육지원청,2016-08-12,2018-12-20,2260,2026-03-20
Z000103530,속리초통학구역,0,43,720,8000000,충청북도교육청,8051000,충청북도보은교육지원청,2016-08-12,2016-08-12,7023,2026-03-20
Z000103397,미원초통학구역,0,43,111,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2016-08-12,2016-08-12,3462,2026-03-20
Z000103510,수산초통학구역,0,43,150,8000000,충청북도교육청,8031000,충청북도제천교육지원청,2016-08-12,2016-08-12,7096,2026-03-20
Z000105150,오태초통학구역,0,47,850,8750000,경상북도교육청,8801000,경상북도구미교육지원청,2016-08-12,2016-08-12,6487,2026-03-20
Z000104447,곰소초통학구역,0,52,800,8321000,전북특별자치도교육청,8462000,전북특별자치도부안교육지원청,2016-08-12,2024-02-23,2816,2026-03-20
Z000103733,정안초통학구역,0,44,150,8140000,충청남도교육청,8161000,충청남도공주교육지원청,2016-08-12,2016-08-12,6302,2026-03-20
Z000100231,서울매동초통학구역,0,11,110,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2016-08-12,2017-02-06,6737,2026-03-20
Z000150006,서울원묵초서울공릉초공동통학구역,1,11,260,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2016-08-12,2016-08-12,6120,2026-03-20
Z000103723,반포초통학구역,0,44,150,8140000,충청남도교육청,8161000,충청남도공주교육지원청,2016-08-12,2016-08-12,3992,2026-03-20
Z000101081,영흥초통학구역,0,28,720,7310000,인천광역시교육청,7321000,인천광역시남부교육지원청,2016-08-12,2016-08-12,5011,2026-03-20
Z000101077,덕적초통학구역,0,28,720,7310000,인천광역시교육청,7321000,인천광역시남부교육지원청,2016-08-12,2016-08-12,191,2026-03-20
Z000101066,대구용계초통학구역,0,27,710,7240000,대구광역시교육청,7281000,대구광역시달성교육지원청,2016-08-12,2016-08-12,3425,2026-03-20
Z000100909,대구율원초통학구역,0,27,140,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2016-08-12,2016-08-12,3454,2026-03-20
Z000100902,대구신천초통학구역,0,27,140,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2016-08-12,2018-02-22,3422,2026-03-20
Z000104295,오동초통학구역,0,52,190,8321000,전북특별자치도교육청,8372000,전북특별자치도남원교육지원청,2016-08-12,2024-02-23,6625,2026-03-20
Z000105960,용주초통학구역,0,48,890,9010000,경상남도교육청,9221000,경상남도합천교육지원청,2016-08-12,2016-08-12,6164,2026-03-20
Z000105850,하북초통학구역,0,48,330,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2016-08-12,2016-08-12,6403,2026-03-20
Z000105525,웅남초통학구역,0,48,123,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2016-08-12,2016-08-12,5814,2026-03-20
Z000101012,대구성지초통학구역,0,27,290,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2016-08-12,2016-08-12,6450,2026-03-20
Z000100439,서울학동초통학구역,0,11,680,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2016-08-12,2016-08-12,4455,2026-03-20
Z000100370,서울염동초통학구역,0,11,500,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2016-08-12,2016-08-12,2107,2026-03-20
Z000100118,서울대길초통학구역,0,11,560,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2016-08-12,2017-08-14,4402,2026-03-20
Z000104586,순천연향초통학구역,0,46,150,8490000,전라남도교육청,8521000,전라남도순천교육지원청,2016-08-12,2016-08-12,2710,2026-03-20
Z000150537,산동초해마루초공동통학구역,1,47,190,8750000,경상북도교육청,8801000,경상북도구미교육지원청,2016-08-12,2016-08-12,3384,2026-03-20
Z000102102,양주덕현초통학구역,0,41,630,7530000,경기도교육청,7602000,경기도동두천양주교육지원청,2016-08-12,2016-08-12,2469,2026-03-20
Z000103590,백봉초통학구역,0,43,760,8000000,충청북도교육청,8092000,충청북도괴산증평교육지원청,2016-08-12,2016-08-12,5510,2026-03-20
Z000103585,괴산명덕초통학구역,0,43,760,8000000,충청북도교육청,8092000,충청북도괴산증평교육지원청,2016-08-12,2016-08-12,4378,2026-03-20
Z000103589,문광초통학구역,0,43,760,8000000,충청북도교육청,8092000,충청북도괴산증평교육지원청,2016-08-12,2016-08-12,782,2026-03-20
Z000101080,연평초통학구역,0,28,720,7310000,인천광역시교육청,7321000,인천광역시남부교육지원청,2016-08-12,2016-08-12,1074,2026-03-20
Z000101730,울산중앙초통학구역,0,31,140,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2016-08-12,2016-08-12,847,2026-03-20
Z000105701,주석초통학구역,0,48,250,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2016-08-12,2016-08-17,3613,2026-03-20
Z000105791,월촌초통학구역,0,48,730,9010000,경상남도교육청,9131000,경상남도함안교육지원청,2016-08-12,2016-08-12,1154,2026-03-20
Z000104362,태봉초통학구역,0,52,710,8321000,전북특별자치도교육청,8392000,전북특별자치도완주교육지원청,2016-08-12,2024-02-23,5312,2026-03-20
Z000100471,서울영본초통학구역,0,11,590,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2016-08-12,2016-08-12,2957,2026-03-20
Z000105612,벽방초통학구역,0,48,220,9010000,경상남도교육청,9071000,경상남도통영교육지원청,2016-08-12,2016-08-12,969,2026-03-20
Z000104226,이리신흥초통학구역,0,52,140,8321000,전북특별자치도교육청,8352000,전북특별자치도익산교육지원청,2016-08-12,2024-02-23,1451,2026-03-20
Z000104915,비금초통학구역,0,46,910,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2016-08-12,2016-08-12,5532,2026-03-20
Z000104924,압해서초통학구역,0,46,910,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2016-08-12,2016-08-12,2048,2026-03-20
Z000104913,도초초통학구역,0,46,910,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2016-08-12,2016-08-12,4649,2026-03-20
